データ日付,終値,始値,高値,安値
"2017/07/06","19994.06","20061.68","20078.88","19947.63"
"2017/07/07","19929.09","19856.65","19979.93","19856.65"
"2017/07/10","20080.98","20070.44","20127.76","20023.03"
"2017/07/11","20195.48","20073.86","20200.88","20070.67"
"2017/07/12","20098.38","20137.22","20153.04","20061.16"
"2017/07/13","20099.81","20177.28","20183.80","20062.27"
"2017/07/14","20118.86","20157.92","20163.67","20101.71"
"2017/07/18","19999.91","20074.41","20081.29","19943.14"
"2017/07/19","20020.86","19970.78","20032.46","19947.26"
"2017/07/20","20144.59","20046.90","20157.11","20032.23"
"2017/07/21","20099.75","20089.86","20135.33","20081.91"
"2017/07/24","19975.67","19973.67","20002.54","19901.88"
"2017/07/25","19955.20","19979.56","20036.31","19941.61"
"2017/07/26","20050.16","20098.14","20116.00","20016.58"
"2017/07/27","20079.64","20026.58","20176.39","20005.20"
"2017/07/28","19959.84","20048.46","20056.16","19926.60"
"2017/07/31","19925.18","19933.45","19983.90","19891.90"
"2017/08/01","19985.79","19907.08","20000.46","19904.72"
"2017/08/02","20080.04","20057.07","20113.73","20022.05"
"2017/08/03","20029.26","20066.00","20070.16","19985.40"
"2017/08/04","19952.33","19949.79","19984.51","19933.59"
"2017/08/07","20055.89","20059.29","20085.90","20037.40"
"2017/08/08","19996.01","20062.65","20076.80","19970.57"
"2017/08/09","19738.71","19928.96","19945.28","19660.22"
"2017/08/10","19729.74","19792.45","19829.88","19685.83"
"2017/08/14","19537.10","19545.58","19598.41","19486.48"
"2017/08/15","19753.31","19689.38","19824.12","19656.91"
"2017/08/16","19729.28","19750.55","19776.86","19719.08"
"2017/08/17","19702.63","19707.75","19739.04","19679.37"
"2017/08/18","19470.41","19471.27","19543.13","19433.09"
"2017/08/21","19393.13","19509.53","19509.53","19365.65"
"2017/08/22","19383.84","19373.11","19437.25","19361.95"
"2017/08/23","19434.64","19547.05","19561.32","19408.47"
"2017/08/24","19353.77","19366.36","19428.55","19351.92"
"2017/08/25","19452.61","19401.12","19485.97","19384.37"
"2017/08/28","19449.90","19502.23","19535.50","19420.50"
"2017/08/29","19362.55","19319.11","19371.90","19280.02"
"2017/08/30","19506.54","19480.98","19538.23","19435.10"
"2017/08/31","19646.24","19591.32","19687.99","19583.11"
"2017/09/01","19691.47","19733.57","19735.96","19620.07"
"2017/09/04","19508.25","19615.96","19628.40","19479.40"
"2017/09/05","19385.81","19533.38","19542.78","19354.59"
"2017/09/06","19357.97","19286.06","19371.38","19254.67"
"2017/09/07","19396.52","19433.44","19482.72","19365.75"
"2017/09/08","19274.82","19297.96","19357.49","19239.52"
"2017/09/11","19545.77","19441.39","19567.03","19437.14"
"2017/09/12","19776.62","19736.14","19792.06","19718.80"
"2017/09/13","19865.82","19873.69","19888.84","19845.02"
"2017/09/14","19807.44","19860.37","19918.39","19793.85"
"2017/09/15","19909.50","19793.80","19933.40","19787.65"
"2017/09/19","20299.38","20128.18","20320.78","20122.00"
"2017/09/20","20310.46","20301.33","20339.37","20272.82"
"2017/09/21","20347.48","20456.50","20481.27","20332.69"
"2017/09/22","20296.45","20413.61","20417.07","20249.24"
"2017/09/25","20397.58","20439.43","20454.29","20367.03"
"2017/09/26","20330.19","20349.26","20385.50","20303.98"
"2017/09/27","20267.05","20269.82","20278.09","20213.66"
"2017/09/28","20363.11","20398.63","20399.87","20299.68"
"2017/09/29","20356.28","20315.34","20370.33","20285.06"
"2017/10/02","20400.78","20400.51","20411.33","20363.28"
"2017/10/03","20614.07","20475.25","20628.38","20438.17"
"2017/10/04","20626.66","20660.81","20689.08","20592.18"
"2017/10/05","20628.56","20650.71","20667.47","20602.26"
"2017/10/06","20690.71","20716.85","20721.15","20659.15"
"2017/10/10","20823.51","20680.54","20823.66","20663.08"
"2017/10/11","20881.27","20803.71","20898.41","20788.12"
"2017/10/12","20954.72","20958.18","20994.40","20917.04"
"2017/10/13","21155.18","20959.66","21211.29","20933.00"
"2017/10/16","21255.56","21221.27","21347.07","21187.93"
"2017/10/17","21336.12","21352.17","21393.96","21230.67"
"2017/10/18","21363.05","21374.66","21402.76","21317.67"
"2017/10/19","21448.52","21450.04","21503.85","21381.52"
"2017/10/20","21457.64","21390.95","21489.26","21363.10"
"2017/10/23","21696.65","21709.30","21723.60","21614.51"
"2017/10/24","21805.17","21670.00","21805.17","21646.52"
"2017/10/25","21707.62","21900.13","21921.36","21648.35"
"2017/10/26","21739.78","21698.95","21793.62","21688.56"
"2017/10/27","22008.45","21903.27","22016.50","21815.72"
"2017/10/30","22011.67","22047.95","22086.88","21921.24"
"2017/10/31","22011.61","21897.29","22020.38","21840.07"
"2017/11/01","22420.08","22144.92","22455.92","22130.03"
"2017/11/02","22539.12","22512.18","22540.25","22400.01"
"2017/11/06","22548.35","22612.96","22644.68","22435.34"
"2017/11/07","22937.60","22518.75","22953.18","22512.91"
"2017/11/08","22913.82","22849.91","22922.80","22759.07"
"2017/11/09","22868.71","22989.44","23382.15","22522.83"
"2017/11/10","22681.42","22580.70","22724.39","22511.93"
"2017/11/13","22380.99","22607.56","22607.92","22380.99"
"2017/11/14","22380.01","22342.93","22532.30","22323.24"
"2017/11/15","22028.32","22250.98","22305.24","22004.79"
"2017/11/16","22351.12","21975.23","22392.13","21972.34"
"2017/11/17","22396.80","22603.30","22757.40","22319.12"
"2017/11/20","22261.76","22279.98","22410.24","22215.07"
"2017/11/21","22416.48","22456.79","22563.25","22416.48"
"2017/11/22","22523.15","22601.55","22677.34","22513.44"
"2017/11/24","22550.85","22390.14","22567.20","22381.01"
"2017/11/27","22495.99","22657.08","22659.33","22423.40"
"2017/11/28","22486.24","22474.74","22580.99","22363.94"
"2017/11/29","22597.20","22613.96","22643.93","22537.12"
"2017/11/30","22724.96","22601.83","22748.32","22502.68"
"2017/12/01","22819.03","22916.93","22994.31","22675.07"
"2017/12/04","22707.16","22843.53","22864.33","22693.99"
"2017/12/05","22622.38","22595.33","22682.71","22522.28"
"2017/12/06","22177.04","22525.38","22528.21","22119.21"
"2017/12/07","22498.03","22317.15","22515.24","22317.15"
"2017/12/08","22811.08","22627.95","22819.71","22625.41"
"2017/12/11","22938.73","22894.30","22938.73","22787.40"
"2017/12/12","22866.17","22936.41","22994.33","22834.89"
"2017/12/13","22758.07","22879.27","22879.37","22697.32"
"2017/12/14","22694.45","22699.30","22786.61","22638.76"
"2017/12/15","22553.22","22621.36","22745.09","22478.32"
"2017/12/18","22901.77","22770.44","22927.50","22735.20"
"2017/12/19","22868.00","22961.47","22990.42","22862.82"
"2017/12/20","22891.72","22834.93","22923.50","22806.73"
"2017/12/21","22866.10","22852.01","22894.95","22728.06"
"2017/12/22","22902.76","22850.73","22908.84","22801.16"
"2017/12/25","22939.18","22909.41","22948.83","22870.19"
"2017/12/26","22892.69","22922.95","22950.15","22877.63"
"2017/12/27","22911.21","22854.39","22936.16","22854.39"
"2017/12/28","22783.98","22912.05","22954.45","22736.43"
"2017/12/29","22764.94","22831.49","22881.21","22753.20"
"2018/01/04","23506.33","23073.73","23506.33","23065.20"
